Stock Information for Ticker: FB
High         2.020886e+02
Low          1.974644e+02
Open         1.997521e+02
Close        1.998744e+02
Volume       2.030946e+07
Adj Close    1.998744e+02


              High          Low         Open        Close        Volume    Adj Close
count  1258.000000  1258.000000  1258.000000  1258.000000  1.258000e+03  1258.000000
mean    202.088649   197.464440   199.752122   199.874404  2.030946e+07   199.874404
std      61.474315    59.930320    60.630514    60.743177  1.239795e+07    60.743177
min     116.480003   113.550003   114.480003   115.050003  5.324760e+06   115.050003
25%     162.105000   157.687504   159.745003   159.700001  1.320985e+07   159.700001
50%     183.754997   179.930000   181.830002   181.744995  1.719975e+07   181.744995
75%     233.390003   227.282501   230.212502   231.397495  2.311872e+07   231.397495
max     384.329987   378.809998   381.500000   382.179993  1.698037e+08   382.179993


             ds       trend  yhat_lower  yhat_upper  trend_lower  trend_upper  additive_terms  additive_terms_lower  additive_terms_upper    weekly  weekly_lower  weekly_upper     yearly  yearly_lower  yearly_upper  multiplicative_terms  multiplicative_terms_lower  multiplicative_terms_upper        yhat
25   2016-10-17  124.949882  112.985245  140.824254   124.949882   124.949882        2.163836              2.163836              2.163836 -1.796236     -1.796236     -1.796236   3.960071      3.960071      3.960071                   0.0                         0.0                         0.0  127.113718
26   2016-10-18  125.073874  113.600341  142.819597   125.073874   125.073874        2.764596              2.764596              2.764596 -1.300205     -1.300205     -1.300205   4.064801      4.064801      4.064801                   0.0                         0.0                         0.0  127.838470
27   2016-10-19  125.197866  114.355039  142.325063   125.197866   125.197866        2.779041              2.779041              2.779041 -1.362021     -1.362021     -1.362021   4.141062      4.141062      4.141062                   0.0                         0.0                         0.0  127.976907
28   2016-10-20  125.321858  114.819314  142.651310   125.321858   125.321858        2.784254              2.784254              2.784254 -1.404170     -1.404170     -1.404170   4.188424      4.188424      4.188424                   0.0                         0.0                         0.0  128.106112
29   2016-10-21  125.445850  114.725068  142.938472   125.445850   125.445850        2.766492              2.766492              2.766492 -1.440414     -1.440414     -1.440414   4.206906      4.206906      4.206906                   0.0                         0.0                         0.0  128.212342
30   2016-10-24  125.817826  114.042979  141.813929   125.817826   125.817826        2.298814              2.298814              2.298814 -1.796236     -1.796236     -1.796236   4.095050      4.095050      4.095050                   0.0                         0.0                         0.0  128.116640
31   2016-10-25  125.941818  114.144288  141.795501   125.941818   125.941818        2.705405              2.705405              2.705405 -1.300205     -1.300205     -1.300205   4.005610      4.005610      4.005610                   0.0                         0.0                         0.0  128.647223
32   2016-10-26  126.065810  115.364383  142.940421   126.065810   126.065810        2.530526              2.530526              2.530526 -1.362021     -1.362021     -1.362021   3.892546      3.892546      3.892546                   0.0                         0.0                         0.0  128.596336
33   2016-10-27  126.189802  114.409049  140.951948   126.189802   126.189802        2.353456              2.353456              2.353456 -1.404170     -1.404170     -1.404170   3.757626      3.757626      3.757626                   0.0                         0.0                         0.0  128.543258
34   2016-10-28  126.313794  115.392627  141.872459   126.313794   126.313794        2.162341              2.162341              2.162341 -1.440414     -1.440414     -1.440414   3.602755      3.602755      3.602755                   0.0                         0.0                         0.0  128.476135
