Stock Information for Ticker: NFLX
High         3.358255e+02
Low          3.258369e+02
Open         3.309005e+02
Close        3.310286e+02
Volume       7.682605e+06
Adj Close    3.310286e+02


              High          Low         Open        Close        Volume    Adj Close
count  1258.000000  1258.000000  1258.000000  1258.000000  1.258000e+03  1258.000000
mean    335.825508   325.836892   330.900469   331.028585  7.682605e+06   331.028585
std     136.380696   132.374693   134.375118   134.432008  5.080908e+06   134.432008
min      95.379997    93.260002    95.040001    94.559998  1.144000e+06    94.559998
25%     198.597496   194.365002   196.597500   196.072502  4.588450e+06   196.072502
50%     341.535004   330.909988   336.139999   336.764999  6.210600e+06   336.764999
75%     448.637497   432.650009   441.955002   440.182495  9.149925e+06   440.182495
max     613.849976   593.989990   594.690002   606.710022  5.841040e+07   606.710022


             ds       trend  yhat_lower   yhat_upper  trend_lower  trend_upper  additive_terms  additive_terms_lower  additive_terms_upper    weekly  weekly_lower  weekly_upper     yearly  yearly_lower  yearly_upper  multiplicative_terms  multiplicative_terms_lower  multiplicative_terms_upper        yhat
28   2016-10-18  119.039987   94.664533   143.921019   119.039987   119.039987       -0.341844             -0.341844             -0.341844  4.021108      4.021108      4.021108  -4.362952     -4.362952     -4.362952                   0.0                         0.0                         0.0  118.698143
29   2016-10-19  119.164658   94.082640   138.983990   119.164658   119.164658       -2.055023             -2.055023             -2.055023  3.052514      3.052514      3.052514  -5.107538     -5.107538     -5.107538                   0.0                         0.0                         0.0  117.109635
30   2016-10-20  119.289329   93.860628   139.396073   119.289329   119.289329       -2.598401             -2.598401             -2.598401  3.327020      3.327020      3.327020  -5.925421     -5.925421     -5.925421                   0.0                         0.0                         0.0  116.690927
31   2016-10-21  119.413999   93.943802   140.373224   119.413999   119.413999       -4.338069             -4.338069             -4.338069  2.464035      2.464035      2.464035  -6.802104     -6.802104     -6.802104                   0.0                         0.0                         0.0  115.075931
32   2016-10-24  119.788011   89.862809   134.996379   119.788011   119.788011       -7.181887             -7.181887             -7.181887  2.452267      2.452267      2.452267  -9.634154     -9.634154     -9.634154                   0.0                         0.0                         0.0  112.606124
33   2016-10-25  119.912682   89.098336   136.156841   119.912682   119.912682       -6.574817             -6.574817             -6.574817  4.021108      4.021108      4.021108 -10.595925    -10.595925    -10.595925                   0.0                         0.0                         0.0  113.337865
34   2016-10-26  120.037353   88.030029   134.530868   120.037353   120.037353       -8.490836             -8.490836             -8.490836  3.052514      3.052514      3.052514 -11.543351    -11.543351    -11.543351                   0.0                         0.0                         0.0  111.546516
35   2016-10-27  120.162023   89.055791   134.674837   120.162023   120.162023       -9.137065             -9.137065             -9.137065  3.327020      3.327020      3.327020 -12.464085    -12.464085    -12.464085                   0.0                         0.0                         0.0  111.024958
36   2016-10-28  120.286694   86.906476   134.307328   120.286694   120.286694      -10.883165            -10.883165            -10.883165  2.464035      2.464035      2.464035 -13.347200    -13.347200    -13.347200                   0.0                         0.0                         0.0  109.403529
37   2016-10-31  120.660706   82.149897   129.955920   120.660706   120.660706      -13.234275            -13.234275            -13.234275  2.452267      2.452267      2.452267 -15.686542    -15.686542    -15.686542                   0.0                         0.0                         0.0  107.426431
38   2016-11-01  120.785376   84.681962   131.467152   120.785376   120.785376      -12.322851            -12.322851            -12.322851  4.021108      4.021108      4.021108 -16.343959    -16.343959    -16.343959                   0.0                         0.0                         0.0  108.462525
39   2016-11-02  120.910047   84.019320   129.765275   120.910047   120.910047      -13.882820            -13.882820            -13.882820  3.052514      3.052514      3.052514 -16.935334    -16.935334    -16.935334                   0.0                         0.0                         0.0  107.027227
40   2016-11-03  121.034718   86.094979   130.841412   121.034718   121.034718      -14.133447            -14.133447            -14.133447  3.327020      3.327020      3.327020 -17.460466    -17.460466    -17.460466                   0.0                         0.0                         0.0  106.901271
41   2016-11-04  121.157724   81.005488   127.556346   121.157724   121.157724      -15.456790            -15.456790            -15.456790  2.464035      2.464035      2.464035 -17.920825    -17.920825    -17.920825                   0.0                         0.0                         0.0  105.700934
42   2016-11-07  121.526745   80.508815   127.767544   121.526745   121.526745      -16.497141            -16.497141            -16.497141  2.452267      2.452267      2.452267 -18.949408    -18.949408    -18.949408                   0.0                         0.0                         0.0  105.029604
43   2016-11-08  121.649752   84.313541   130.049092   121.649752   121.649752      -15.171378            -15.171378            -15.171378  4.021108      4.021108      4.021108 -19.192486    -19.192486    -19.192486                   0.0                         0.0                         0.0  106.478374
44   2016-11-09  121.772758   82.057808   128.194159   121.772758   121.772758      -16.344002            -16.344002            -16.344002  3.052514      3.052514      3.052514 -19.396517    -19.396517    -19.396517                   0.0                         0.0                         0.0  105.428756
45   2016-11-10  121.895765   81.181296   128.648213   121.895765   121.895765      -16.241642            -16.241642            -16.241642  3.327020      3.327020      3.327020 -19.568661    -19.568661    -19.568661                   0.0                         0.0                         0.0  105.654123
