Stock Information for Ticker: TSLA
High         1.964112e+02
Low          1.878469e+02
Open         1.922876e+02
Close        1.923936e+02
Volume       4.441423e+07
Adj Close    1.923936e+02


              High          Low         Open        Close        Volume    Adj Close
count  1258.000000  1258.000000  1258.000000  1258.000000  1.258000e+03  1258.000000
mean    196.411180   187.846851   192.287628   192.393562  4.441423e+07   192.393562
std     240.219441   229.904260   235.359001   235.411583  3.034186e+07   235.411583
min      36.945999    35.397999    36.220001    35.793999  9.387500e+06    35.793999
25%      56.757999    54.983500    55.746999    55.819499  2.474150e+07    55.819499
50%      68.577000    66.043999    67.264000    67.103001  3.496850e+07    67.103001
75%     196.346500   182.348003   187.176498   189.521496  5.211238e+07   189.521496
max     900.400024   871.599976   891.380005   883.090027  3.046940e+08   883.090027


             ds        trend   yhat_lower   yhat_upper  trend_lower  trend_upper  additive_terms  additive_terms_lower  additive_terms_upper    weekly  weekly_lower  weekly_upper     yearly  yearly_lower  yearly_upper  multiplicative_terms  multiplicative_terms_lower  multiplicative_terms_upper         yhat
10   2016-09-23    24.997452   -41.994978    76.032612    24.997452    24.997452      -11.194907            -11.194907            -11.194907 -4.229679     -4.229679     -4.229679  -6.965228     -6.965228     -6.965228                   0.0                         0.0                         0.0    13.802545
11   2016-09-26    25.534903   -45.967869    78.256857    25.534903    25.534903       -9.751763             -9.751763             -9.751763 -2.244307     -2.244307     -2.244307  -7.507456     -7.507456     -7.507456                   0.0                         0.0                         0.0    15.783140
12   2016-09-27    25.714054   -44.171571    70.776532    25.714054    25.714054      -10.605561            -10.605561            -10.605561 -2.851961     -2.851961     -2.851961  -7.753600     -7.753600     -7.753600                   0.0                         0.0                         0.0    15.108493
13   2016-09-28    25.893204   -43.380220    74.106224    25.893204    25.893204      -11.304088            -11.304088            -11.304088 -3.286707     -3.286707     -3.286707  -8.017381     -8.017381     -8.017381                   0.0                         0.0                         0.0    14.589116
14   2016-09-29    26.072354   -41.929399    67.671347    26.072354    26.072354      -11.958049            -11.958049            -11.958049 -3.668538     -3.668538     -3.668538  -8.289510     -8.289510     -8.289510                   0.0                         0.0                         0.0    14.114305
15   2016-09-30    26.251505   -44.236748    78.667747    26.251505    26.251505      -12.790621            -12.790621            -12.790621 -4.229679     -4.229679     -4.229679  -8.560942     -8.560942     -8.560942                   0.0                         0.0                         0.0    13.460883
16   2016-10-03    26.788956   -43.200623    72.459418    26.788956    26.788956      -11.534328            -11.534328            -11.534328 -2.244307     -2.244307     -2.244307  -9.290021     -9.290021     -9.290021                   0.0                         0.0                         0.0    15.254627
17   2016-10-04    26.968106   -44.426586    71.821574    26.968106    26.968106      -12.334527            -12.334527            -12.334527 -2.851961     -2.851961     -2.851961  -9.482567     -9.482567     -9.482567                   0.0                         0.0                         0.0    14.633579
18   2016-10-05    27.147256   -44.708144    74.435133    27.147256    27.147256      -12.928760            -12.928760            -12.928760 -3.286707     -3.286707     -3.286707  -9.642053     -9.642053     -9.642053                   0.0                         0.0                         0.0    14.218496
19   2016-10-06    27.326406   -51.879210    75.493158    27.326406    27.326406      -13.434603            -13.434603            -13.434603 -3.668538     -3.668538     -3.668538  -9.766064     -9.766064     -9.766064                   0.0                         0.0                         0.0    13.891804
